@relation gesture_recognition
@attribute mean_x real
@attribute mean_y real
@attribute mean_z real
@attribute variance_x real
@attribute variance_y real
@attribute variance_z real
@attribute gesture_type{up, down, forward, backward}

@data
-0.22791798,11.940114,0.050615948,1.2657176,31.139902,2.3972623,backward
-0.12123617,12.608493,1.254364,7.635229,50.00704,7.5015526,backward
1.1286621,13.403369,3.094045,5.421004,52.1907,4.345055,backward
1.1535391,11.897014,1.859436,2.364323,43.141933,2.392488,backward
0.24541625,13.206668,1.6975616,10.451769,34.81082,27.97704,backward
-0.33937836,9.033549,2.209119,44.393555,190.83644,64.14697,backward
1.357048,7.873693,1.99484,31.252653,129.31834,78.69004,backward
1.0785192,13.167005,3.2819874,1.8908658,13.737739,54.353806,backward
-1.853447,8.985265,1.3631693,34.957516,151.49438,66.41794,backward
-0.09011587,12.227147,1.0140152,0.7340987,38.10206,6.951716,backward
0.48010254,9.415027,1.1765594,3.3322823,221.83838,21.431053,forward
-0.048749287,9.946004,1.134524,5.188656,170.97331,24.607065,forward
0.37276205,9.970746,1.2828293,13.160119,161.75563,7.087581,forward
0.6645889,9.389755,1.3289871,8.991544,108.20568,14.843155,forward
0.66618854,9.84053,0.5281245,3.3737824,127.311066,22.088514,forward
0.5954234,9.187706,0.68866986,1.5688114,92.63703,15.368801,forward
0.6564763,9.623459,-0.24001312,9.210451,76.8145,13.105426,forward
1.033432,8.844676,-0.5003179,22.290056,140.981,20.778357,forward
0.46347556,9.309415,-0.17922719,8.837785,130.84679,18.913548,forward
0.053138733,8.876994,0.5141576,18.511333,102.738434,24.778627,forward
-0.091051735,11.290614,0.76315564,2.404248,14.738342,5.817106,backward
0.0688324,11.821465,-0.6047287,6.231447,24.581703,1.2268869,backward
0.29401907,10.952766,-1.0199941,12.387889,27.57413,8.904617,backward
0.7783101,12.315738,-0.25943503,12.087472,28.280268,5.566611,backward
0.6297404,11.710536,0.09863281,4.4357176,21.217554,0.86364555,backward
0.29800668,12.304962,1.8600973,4.3058615,25.327652,8.226178,backward
1.4288687,12.64401,1.4585394,2.5886257,38.395214,1.898315,backward
1.3486633,11.259892,-0.103009544,2.1185923,16.670427,9.589186,backward
1.0176035,11.51102,0.90427905,2.5805871,22.904968,2.0155957,backward
-0.013237,11.66877,-0.093434654,4.723529,15.864676,0.73292214,backward
0.3877894,11.943835,-0.91917163,3.3208802,18.96441,1.2725381,backward
-0.52027637,12.244972,-0.19386292,5.627897,33.13292,2.8730233,backward
-0.036646526,12.02258,0.39790598,2.9113903,26.349302,1.2927893,backward
0.12203674,12.282028,0.8985321,3.3434205,28.854147,2.2794967,backward
0.5999669,11.936216,-0.574537,6.312107,27.307873,6.919327,backward
0.27247366,12.493169,0.63958997,4.486859,48.001892,9.667171,backward
1.1278687,12.074986,1.5762533,6.720075,38.114986,5.76585,backward
1.3413519,12.715299,1.2044907,1.7216407,30.735033,3.6757097,backward
1.1700287,11.528575,1.2994562,0.71917146,12.244479,5.902349,backward
-0.63333386,9.121732,0.4187902,21.206806,161.04858,19.846401,backward
1.1589915,9.430321,1.6128311,3.6595871,136.9741,10.166608,forward
0.6115662,9.9405,0.63485414,4.128621,128.43538,8.141035,forward
0.34697834,9.937856,0.32020786,5.3957458,84.53071,5.1233816,forward
